doc1,doc2,number_of_relations
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,14,1
0,18,1
0,20,2
0,25,1
0,27,1
0,28,1
0,30,1
0,31,1
0,32,1
0,34,3
0,36,1
0,37,4
0,38,2
0,41,2
0,46,1
0,48,4
0,49,1
0,51,1
0,54,1
0,55,3
0,56,1
0,57,1
0,58,1
0,60,1
0,61,3
0,65,1
0,67,1
0,68,1
0,82,1
0,84,1
0,86,3
0,87,2
0,88,1
0,89,2
0,90,1
0,91,1
0,92,1
0,93,4
0,94,1
0,96,2
0,99,2
1,5,6
1,6,2
1,8,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,4
1,16,2
1,17,3
1,19,1
1,20,2
1,26,3
1,27,1
1,34,3
1,37,6
1,38,4
1,39,1
1,41,3
1,46,3
1,48,3
1,55,3
1,56,1
1,58,2
1,61,2
1,62,1
1,76,1
1,77,1
1,84,2
1,86,2
1,87,2
1,89,7
1,90,7
1,91,5
1,92,6
1,93,6
1,94,3
1,95,4
1,96,1
1,97,1
1,98,3
1,99,2
2,6,1
2,13,1
2,15,1
2,19,1
2,20,1
2,23,1
2,24,1
2,41,1
2,46,1
2,55,1
2,56,1
2,58,1
2,72,1
2,87,1
2,89,1
2,90,1
2,91,1
2,92,1
2,93,1
2,95,1
2,98,1
3,20,1
3,87,1
4,20,1
4,43,1
4,77,1
5,6,2
5,7,1
5,8,1
5,10,1
5,12,1
5,13,1
5,14,2
5,15,13
5,16,5
5,17,7
5,19,3
5,20,6
5,23,3
5,25,1
5,26,8
5,27,8
5,28,1
5,29,1
5,31,2
5,34,1
5,36,1
5,37,2
5,38,9
5,39,1
5,41,4
5,43,2
5,46,2
5,48,1
5,49,2
5,51,1
5,54,1
5,55,5
5,56,1
5,57,1
5,58,3
5,60,1
5,62,7
5,63,2
5,64,1
5,65,1
5,67,1
5,69,2
5,70,1
5,73,2
5,76,6
5,77,7
5,78,4
5,87,9
5,89,17
5,90,21
5,91,6
5,92,16
5,93,17
5,94,10
5,95,7
5,96,7
5,97,9
5,98,8
5,99,8
6,7,2
6,8,2
6,9,1
6,10,3
6,11,1
6,12,2
6,13,1
6,14,5
6,15,6
6,18,1
6,19,3
6,20,5
6,22,1
6,24,1
6,25,2
6,26,2
6,27,4
6,28,2
6,29,1
6,30,1
6,31,2
6,32,2
6,33,1
6,34,3
6,35,1
6,36,2
6,37,6
6,38,3
6,39,2
6,40,2
6,41,4
6,42,1
6,43,2
6,46,5
6,47,1
6,48,4
6,49,1
6,50,1
6,51,2
6,52,1
6,53,1
6,54,2
6,55,7
6,56,4
6,57,3
6,58,5
6,59,1
6,60,2
6,61,4
6,62,2
6,65,2
6,66,1
6,67,2
6,68,2
6,69,1
6,70,1
6,71,1
6,74,1
6,75,1
6,77,2
6,78,1
6,79,1
6,82,2
6,83,1
6,84,3
6,85,1
6,86,4
6,87,7
6,88,2
6,89,10
6,90,7
6,91,7
6,92,2
6,93,8
6,94,3
6,95,3
6,96,4
6,97,4
6,98,2
6,99,4
7,9,1
7,10,2
7,14,1
7,15,1
7,18,1
7,19,1
7,20,3
7,24,1
7,25,2
7,27,2
7,28,2
7,29,2
7,30,1
7,31,2
7,32,2
7,36,2
7,37,1
7,38,3
7,40,1
7,42,1
7,46,1
7,48,2
7,49,2
7,51,2
7,54,2
7,55,4
7,56,1
7,57,2
7,58,3
7,60,2
7,61,1
7,65,3
7,67,2
7,68,1
7,71,1
7,80,1
7,82,1
7,84,1
7,86,1
7,87,2
7,88,1
7,89,3
7,90,3
7,91,1
7,92,1
7,93,1
7,94,1
7,96,2
7,97,1
7,98,1
7,99,2
8,13,1
8,14,1
8,15,1
8,19,2
8,20,1
8,24,1
8,26,1
8,37,1
8,39,1
8,41,2
8,43,1
8,46,3
8,47,1
8,55,3
8,56,2
8,57,1
8,58,1
8,61,1
8,62,1
8,74,1
8,77,1
8,78,1
8,86,1
8,89,3
8,90,1
8,91,3
8,92,1
8,93,1
8,95,1
8,96,1
8,98,1
8,99,1
9,10,1
9,15,1
9,20,1
9,25,1
9,27,1
9,28,1
9,29,1
9,31,1
9,32,1
9,36,1
9,38,1
9,40,1
9,51,1
9,54,1
9,55,1
9,57,1
9,58,2
9,60,1
9,65,1
9,67,1
9,87,1
9,89,1
9,90,1
9,97,1
9,98,1
10,13,1
10,14,1
10,15,2
10,18,1
10,19,1
10,20,3
10,25,2
10,27,2
10,28,2
10,29,1
10,30,1
10,31,2
10,32,2
10,36,2
10,37,1
10,38,3
10,40,1
10,41,1
10,46,1
10,48,1
10,49,1
10,51,2
10,53,1
10,54,2
10,55,4
10,56,2
10,57,2
10,58,3
10,60,2
10,61,1
10,65,2
10,67,2
10,68,1
10,82,1
10,84,1
10,86,1
10,87,4
10,88,1
10,89,3
10,90,3
10,91,1
10,92,2
10,93,1
10,94,1
10,95,1
10,96,1
10,97,1
10,98,2
10,99,1
11,12,1
11,13,1
11,14,2
11,15,4
11,19,1
11,20,3
11,41,1
11,46,1
11,55,1
11,56,1
11,58,1
11,62,1
11,87,1
11,89,2
11,90,4
11,91,3
11,92,1
11,93,2
11,95,2
11,97,2
11,98,1
12,13,1
12,15,1
12,19,1
12,23,1
12,41,1
12,46,1
12,49,1
12,55,1
12,56,1
12,69,1
12,72,1
12,89,1
12,90,1
12,91,1
12,92,1
12,93,1
12,95,1
12,98,1
13,14,1
13,15,1
13,19,1
13,20,1
13,22,1
13,26,1
13,27,1
13,33,1
13,35,1
13,37,1
13,39,1
13,40,1
13,42,1
13,46,1
13,50,1
13,52,1
13,53,1
13,56,1
13,59,1
13,66,1
13,69,1
13,70,1
13,71,1
13,75,1
13,79,1
13,82,1
13,83,1
13,84,1
13,85,1
13,87,3
13,88,1
13,89,1
13,90,1
13,92,1
13,93,1
13,94,1
13,96,1
13,97,1
13,99,1
14,15,5
14,16,2
14,17,1
14,19,2
14,25,1
14,27,2
14,28,2
14,29,1
14,30,1
14,31,1
14,32,1
14,34,5
14,36,1
14,37,8
14,38,2
14,40,1
14,41,3
14,43,3
14,45,1
14,46,4
14,48,5
14,51,1
14,54,1
14,55,7
14,56,2
14,57,2
14,58,2
14,60,1
14,61,2
14,62,1
14,65,1
14,67,1
14,77,1
14,83,1
14,84,1
14,86,3
14,87,3
14,88,1
14,89,5
14,90,5
14,91,4
14,92,3
14,93,10
14,94,2
14,95,7
14,96,3
14,97,2
14,98,4
14,99,3
15,17,2
15,18,1
15,19,3
15,20,2
15,22,1
15,23,1
15,25,1
15,26,4
15,27,3
15,28,1
15,30,1
15,31,1
15,32,1
15,33,1
15,35,1
15,36,1
15,37,2
15,38,5
15,39,2
15,40,1
15,41,1
15,42,1
15,46,2
15,49,2
15,50,1
15,51,2
15,52,1
15,53,1
15,54,1
15,55,4
15,56,3
15,59,1
15,60,1
15,62,1
15,63,2
15,65,1
15,66,1
15,67,1
15,68,1
15,69,2
15,70,2
15,71,1
15,75,1
15,76,1
15,77,1
15,79,1
15,82,1
15,83,1
15,84,4
15,85,1
15,86,1
15,87,6
15,88,3
15,89,7
15,90,9
15,91,1
15,92,6
15,93,3
15,94,6
15,95,9
15,96,3
15,97,5
15,98,5
15,99,4
16,17,2
16,20,2
16,26,2
16,38,2
16,40,1
16,43,2
16,50,1
16,55,1
16,62,1
16,76,1
16,77,1
16,78,3
16,87,1
16,89,2
16,90,4
16,91,1
16,92,4
16,93,1
16,98,2
17,20,3
17,23,1
17,26,1
17,27,1
17,41,1
17,43,1
17,62,2
17,63,1
17,64,1
17,76,2
17,77,2
17,78,2
17,87,4
17,89,3
17,90,3
17,91,1
17,92,1
17,93,3
17,94,3
17,95,1
17,96,2
17,97,2
17,98,2
17,99,2
18,20,1
18,25,1
18,27,1
18,28,1
18,29,1
18,31,1
18,32,1
18,36,1
18,38,1
18,40,1
18,51,1
18,54,1
18,55,1
18,57,1
18,58,2
18,60,1
18,65,1
18,67,1
18,87,1
18,89,1
18,90,1
18,97,1
18,98,1
19,20,1
19,22,1
19,23,1
19,26,1
19,27,1
19,28,1
19,32,1
19,33,1
19,34,1
19,35,1
19,37,4
19,38,2
19,39,1
19,40,2
19,41,1
19,42,1
19,44,1
19,46,5
19,48,2
19,50,1
19,52,1
19,53,2
19,55,4
19,56,3
19,57,1
19,58,2
19,59,1
19,61,1
19,62,1
19,63,1
19,66,1
19,69,2
19,70,1
19,71,1
19,73,1
19,75,1
19,79,1
19,82,3
19,83,1
19,84,3
19,85,1
19,87,4
19,88,1
19,89,4
19,90,7
19,91,2
19,92,3
19,93,4
19,94,3
19,95,4
19,96,2
19,97,2
19,98,3
19,99,2
20,22,1
20,23,1
20,24,1
20,25,3
20,26,8
20,27,4
20,28,3
20,29,3
20,30,1
20,31,3
20,32,2
20,33,1
20,35,1
20,36,3
20,37,2
20,38,9
20,40,1
20,41,1
20,42,1
20,43,3
20,46,1
20,50,1
20,51,4
20,52,1
20,53,1
20,54,3
20,55,4
20,56,1
20,57,2
20,58,4
20,59,1
20,60,3
20,63,1
20,65,3
20,66,1
20,67,3
20,68,1
20,69,1
20,71,1
20,72,1
20,73,1
20,75,1
20,78,2
20,79,1
20,81,1
20,82,1
20,83,1
20,84,1
20,85,1
20,87,4
20,89,3
20,90,6
20,91,3
20,92,11
20,93,1
20,94,1
20,95,2
20,97,3
20,98,3
21,87,1
21,93,1
22,41,1
22,46,1
22,49,1
22,55,1
22,56,1
22,89,1
22,90,2
22,91,1
22,92,2
22,95,1
22,98,1
23,24,1
23,26,2
23,38,2
23,55,1
23,89,1
23,92,2
24,26,2
24,34,1
24,37,2
24,38,2
24,39,1
24,42,1
24,46,2
24,48,2
24,49,1
24,52,2
24,55,4
24,65,1
24,71,1
24,73,1
24,78,2
24,80,1
24,84,2
24,89,3
24,90,5
24,91,2
24,92,5
24,93,1
24,94,2
24,96,2
24,98,2
24,99,2
25,27,2
25,28,2
25,29,1
25,30,1
25,31,2
25,32,2
25,36,2
25,37,1
25,38,3
25,40,1
25,46,1
25,48,1
25,49,1
25,51,2
25,54,2
25,55,4
25,56,1
25,57,2
25,58,3
25,60,2
25,61,1
25,65,2
25,67,2
25,68,1
25,82,1
25,84,1
25,86,1
25,87,2
25,88,1
25,89,3
25,90,2
25,91,1
25,94,1
25,96,1
25,97,1
25,98,1
25,99,1
26,27,1
26,28,1
26,32,1
26,34,1
26,37,1
26,38,1
26,40,1
26,41,2
26,43,1
26,46,3
26,48,1
26,53,1
26,55,3
26,56,1
26,58,2
26,62,2
26,63,1
26,64,1
26,76,2
26,77,2
26,78,2
26,87,3
26,89,6
26,90,4
26,91,3
26,92,2
26,93,4
26,94,4
26,95,2
26,96,3
26,97,3
26,98,5
26,99,3
27,28,2
27,29,1
27,30,1
27,31,2
27,32,2
27,36,2
27,37,1
27,38,4
27,40,2
27,41,1
27,43,1
27,46,1
27,48,1
27,49,1
27,50,1
27,51,2
27,54,2
27,55,5
27,56,2
27,57,2
27,58,3
27,60,2
27,61,1
27,62,1
27,65,2
27,67,2
27,68,1
27,76,1
27,77,1
27,82,1
27,84,1
27,86,1
27,87,3
27,88,1
27,89,6
27,90,10
27,91,2
27,92,4
27,93,6
27,94,1
27,95,4
27,96,2
27,97,2
27,98,4
27,99,2
28,29,1
28,30,1
28,31,2
28,32,2
28,36,2
28,37,1
28,38,4
28,40,1
28,48,1
28,49,1
28,51,2
28,54,2
28,55,4
28,56,1
28,57,2
28,58,3
28,60,2
28,61,1
28,63,1
28,65,2
28,67,2
28,68,1
28,70,1
28,82,1
28,84,1
28,86,1
28,87,5
28,88,1
28,89,2
28,90,2
28,94,2
28,95,1
28,96,1
28,97,2
28,98,2
28,99,2
29,30,1
29,31,1
29,32,1
29,36,1
29,37,1
29,38,2
29,44,1
29,48,1
29,49,2
29,51,1
29,54,1
29,55,2
29,56,1
29,57,1
29,58,1
29,60,1
29,61,1
29,62,1
29,63,1
29,65,1
29,67,1
29,68,1
29,82,1
29,84,2
29,86,1
29,87,1
29,88,1
29,89,1
29,90,2
29,92,1
29,94,1
29,96,1
29,99,1
30,31,1
30,32,1
30,34,1
30,36,1
30,37,1
30,38,2
30,40,1
30,44,1
30,46,1
30,47,1
30,48,1
30,51,1
30,54,1
30,55,1
30,57,1
30,58,2
30,60,1
30,65,1
30,67,1
30,87,2
30,89,1
30,90,1
30,92,1
30,93,1
30,96,1
30,97,1
30,98,1
30,99,1
31,32,2
31,36,2
31,37,1
31,38,3
31,40,1
31,48,1
31,49,1
31,51,2
31,54,2
31,55,3
31,56,1
31,57,2
31,58,3
31,60,2
31,61,1
31,65,2
31,67,2
31,68,1
31,82,1
31,84,1
31,86,1
31,87,2
31,88,1
31,89,2
31,90,2
31,94,1
31,96,1
31,97,1
31,98,1
31,99,1
32,36,2
32,38,2
32,40,1
32,49,1
32,51,2
32,54,2
32,55,2
32,56,1
32,57,1
32,58,2
32,60,2
32,63,1
32,65,2
32,67,2
32,68,1
32,70,1
32,86,1
32,87,4
32,88,1
32,89,2
32,90,1
32,95,1
32,96,1
32,97,2
32,98,2
32,99,2
33,41,1
33,46,1
33,55,1
33,56,1
33,89,1
33,90,1
33,91,1
33,92,1
33,93,1
33,95,1
33,98,1
34,37,3
34,39,1
34,41,3
34,43,1
34,46,2
34,47,1
34,48,2
34,51,1
34,55,2
34,56,1
34,57,1
34,58,2
34,61,3
34,62,2
34,74,1
34,77,1
34,78,1
34,86,3
34,89,2
34,91,2
34,92,1
34,93,4
34,96,1
34,99,1
35,41,1
35,46,1
35,55,1
35,56,1
35,87,1
35,89,1
35,90,1
35,91,1
35,92,1
35,95,1
35,98,1
36,37,1
36,38,3
36,40,1
36,48,1
36,49,1
36,51,2
36,54,2
36,55,3
36,56,1
36,57,2
36,58,3
36,60,2
36,61,1
36,65,2
36,67,2
36,68,1
36,82,1
36,84,1
36,86,1
36,87,2
36,88,1
36,89,2
36,90,2
36,94,1
36,96,1
36,97,1
36,98,1
36,99,1
37,38,6
37,39,3
37,40,1
37,41,4
37,43,3
37,45,1
37,46,5
37,47,1
37,48,4
37,49,4
37,50,1
37,51,2
37,54,1
37,55,9
37,56,5
37,57,3
37,58,9
37,60,2
37,61,5
37,62,4
37,65,1
37,67,1
37,69,1
37,72,1
37,73,1
37,74,2
37,75,1
37,77,1
37,78,1
37,80,1
37,83,2
37,84,6
37,86,4
37,87,4
37,88,1
37,89,15
37,90,13
37,91,11
37,92,6
37,93,13
37,94,5
37,95,7
37,96,3
37,97,3
37,98,6
37,99,4
38,40,1
38,41,1
38,43,1
38,46,2
38,48,1
38,49,1
38,51,3
38,53,1
38,54,3
38,55,8
38,56,1
38,57,3
38,58,7
38,60,3
38,61,1
38,62,2
38,63,2
38,64,1
38,65,3
38,67,3
38,68,1
38,70,1
38,76,2
38,77,2
38,78,2
38,82,1
38,84,2
38,86,1
38,87,7
38,88,1
38,89,8
38,90,8
38,91,2
38,92,1
38,93,5
38,94,6
38,95,3
38,96,3
38,97,4
38,98,5
38,99,4
39,41,1
39,46,3
39,48,1
39,49,2
39,55,2
39,56,2
39,58,1
39,62,7
39,69,2
39,76,6
39,77,6
39,87,2
39,89,3
39,90,7
39,91,4
39,92,2
39,93,6
39,94,1
39,95,4
39,96,2
39,97,2
39,98,1
39,99,1
40,41,2
40,43,1
40,44,1
40,46,2
40,48,1
40,49,3
40,51,3
40,52,1
40,54,3
40,55,7
40,56,5
40,57,2
40,58,2
40,60,3
40,61,1
40,62,1
40,63,2
40,65,3
40,67,3
40,68,2
40,70,1
40,82,1
40,84,1
40,86,2
40,87,3
40,88,3
40,89,5
40,90,5
40,91,3
40,92,6
40,94,4
40,95,4
40,96,2
40,97,2
40,98,4
40,99,3
41,42,1
41,46,2
41,48,3
41,50,1
41,52,1
41,53,1
41,55,1
41,56,1
41,58,1
41,59,1
41,61,2
41,62,1
41,66,1
41,69,1
41,70,1
41,71,1
41,75,1
41,79,1
41,82,1
41,83,1
41,84,1
41,85,1
41,86,2
41,87,1
41,88,1
41,89,2
41,90,1
41,91,1
41,92,3
41,93,4
41,94,1
41,96,2
41,97,1
41,99,2
42,46,1
42,48,1
42,55,1
42,56,1
42,73,1
42,89,1
42,90,1
42,91,1
42,92,2
42,93,1
42,95,1
42,96,1
42,98,1
42,99,1
43,46,1
43,48,1
43,49,1
43,50,1
43,52,2
43,55,5
43,69,2
43,70,1
43,78,4
43,84,2
43,87,2
43,89,4
43,90,6
43,91,3
43,92,4
43,93,1
43,94,2
43,96,2
43,98,3
43,99,1
44,48,2
44,55,1
44,61,2
44,86,2
44,89,1
44,93,3
45,48,1
45,61,1
45,86,1
45,87,1
45,93,1
46,48,2
46,49,2
46,50,1
46,52,1
46,53,1
46,55,3
46,56,4
46,58,1
46,59,1
46,62,2
46,63,1
46,66,1
46,69,2
46,70,2
46,71,1
46,73,1
46,75,1
46,79,1
46,80,1
46,82,1
46,83,1
46,84,2
46,85,1
46,86,1
46,87,3
46,88,2
46,89,4
46,90,7
46,91,5
46,92,5
46,93,6
46,94,2
46,95,3
46,96,3
46,97,5
46,98,3
46,99,4
47,48,1
47,55,1
47,89,1
47,91,2
47,92,1
47,93,1
47,96,1
47,99,1
48,49,1
48,51,1
48,54,1
48,55,5
48,56,1
48,57,2
48,58,4
48,60,1
48,61,2
48,62,3
48,65,1
48,67,1
48,73,1
48,74,1
48,76,1
48,77,2
48,78,1
48,84,1
48,86,2
48,89,8
48,90,1
48,91,3
48,92,5
48,93,3
48,94,3
48,95,3
48,96,1
48,99,1
49,51,1
49,54,1
49,55,5
49,57,1
49,58,3
49,60,1
49,64,2
49,65,2
49,67,1
49,71,1
49,73,1
49,80,1
49,84,1
49,86,2
49,87,4
49,89,7
49,90,3
49,91,4
49,92,6
49,93,3
49,94,2
49,95,3
49,96,1
49,97,3
49,98,1
49,99,1
50,55,2
50,56,2
50,89,2
50,90,2
50,91,3
50,92,3
50,94,1
50,95,2
50,97,1
50,98,3
51,54,2
51,55,3
51,56,1
51,57,2
51,58,3
51,60,2
51,61,1
51,65,2
51,67,2
51,68,1
51,82,1
51,84,1
51,86,1
51,87,2
51,88,1
51,89,2
51,90,2
51,94,1
51,96,1
51,97,1
51,98,1
51,99,1
52,55,3
52,56,1
52,78,2
52,84,2
52,89,2
52,90,4
52,91,1
52,92,3
52,94,1
52,95,1
52,98,3
53,55,2
53,56,1
53,63,1
53,70,1
53,87,1
53,89,1
53,90,1
53,91,1
53,92,1
53,94,1
53,95,2
53,97,1
53,98,2
53,99,1
54,55,4
54,56,1
54,57,2
54,58,3
54,60,2
54,61,1
54,65,2
54,67,2
54,68,1
54,82,1
54,84,1
54,86,1
54,87,2
54,88,1
54,89,3
54,90,2
54,91,1
54,94,1
54,96,1
54,97,1
54,98,1
54,99,1
55,56,3
55,57,4
55,58,9
55,59,1
55,60,3
55,61,3
55,62,1
55,63,2
55,65,3
55,66,1
55,67,3
55,68,1
55,69,3
55,70,3
55,71,1
55,73,3
55,75,1
55,78,3
55,79,1
55,82,5
55,83,1
55,84,6
55,85,1
55,86,2
55,87,8
55,88,4
55,89,11
55,90,17
55,91,6
55,92,11
55,93,7
55,94,11
55,95,4
55,96,4
55,97,7
55,98,10
55,99,9
56,57,1
56,58,2
56,59,1
56,60,1
56,65,1
56,66,1
56,67,1
56,69,3
56,70,2
56,71,1
56,75,1
56,77,1
56,78,2
56,79,1
56,82,1
56,83,1
56,84,3
56,85,1
56,87,4
56,88,1
56,89,5
56,90,8
56,91,2
56,92,4
56,93,2
56,94,2
56,95,1
56,96,4
56,97,2
56,98,4
56,99,2
57,58,3
57,60,2
57,61,3
57,65,2
57,67,2
57,68,1
57,82,1
57,84,1
57,86,3
57,87,2
57,88,1
57,89,3
57,90,2
57,91,1
57,93,4
57,94,1
57,96,2
57,99,2
58,60,3
58,61,3
58,63,1
58,65,3
58,67,3
58,68,2
58,70,1
58,82,3
58,84,3
58,86,3
58,87,3
58,88,2
58,89,9
58,90,4
58,91,4
58,92,1
58,93,4
58,94,4
58,95,3
58,96,3
58,97,2
58,98,2
58,99,5
59,89,1
59,90,1
59,91,1
59,92,1
59,95,1
59,98,1
60,61,1
60,65,2
60,67,2
60,68,1
60,82,1
60,84,1
60,86,1
60,87,3
60,88,1
60,89,2
60,90,2
60,94,1
60,96,1
60,97,1
60,98,1
60,99,1
61,62,1
61,65,1
61,67,1
61,69,1
61,84,1
61,86,2
61,89,7
61,90,1
61,91,3
61,92,2
61,93,4
61,94,3
61,95,3
61,96,1
61,99,1
62,73,2
62,76,7
62,77,7
62,78,2
62,84,2
62,86,1
62,87,2
62,89,7
62,90,6
62,91,3
62,92,6
62,93,6
62,94,1
62,95,1
62,96,3
62,97,2
62,98,4
62,99,3
63,87,1
63,89,2
63,92,2
63,94,1
63,97,1
63,98,2
64,92,2
65,67,2
65,68,1
65,73,1
65,82,1
65,84,1
65,86,1
65,87,2
65,88,1
65,89,3
65,90,2
65,91,1
65,94,1
65,96,1
65,97,1
65,98,1
65,99,1
66,86,1
66,89,1
66,90,1
66,91,1
66,92,1
66,93,1
66,95,1
66,98,1
67,68,1
67,82,1
67,84,1
67,86,1
67,87,2
67,88,1
67,89,3
67,90,2
67,91,1
67,93,1
67,94,1
67,96,2
67,97,1
67,98,1
67,99,2
68,87,1
68,89,2
68,90,1
68,91,1
68,97,1
68,98,1
69,87,2
69,89,1
69,90,1
69,91,1
69,92,1
69,93,1
69,95,1
69,98,1
70,87,2
70,89,2
70,90,1
70,91,1
70,92,1
70,93,1
70,94,1
70,95,1
70,97,1
70,98,3
71,73,1
71,87,1
71,89,1
71,90,1
71,91,1
71,92,1
71,93,1
71,95,1
71,98,1
73,76,4
73,77,5
73,80,1
73,89,1
73,90,1
73,91,1
73,92,2
73,96,1
73,99,1
74,87,1
74,89,1
74,91,1
74,93,1
74,96,1
74,99,1
75,89,1
75,90,1
75,91,1
75,92,1
75,95,1
75,98,1
76,77,8
76,78,2
76,84,1
76,86,1
76,87,2
76,89,3
76,90,3
76,91,1
76,92,6
76,93,5
76,94,1
76,95,1
76,96,3
76,97,1
76,98,2
76,99,3
77,78,4
77,80,1
77,84,3
77,86,1
77,87,3
77,89,5
77,90,8
77,91,3
77,92,9
77,93,6
77,94,2
77,95,1
77,96,6
77,97,1
77,98,4
77,99,5
78,80,1
78,84,2
78,87,1
78,89,2
78,90,8
78,91,2
78,92,7
78,93,1
78,94,1
78,96,3
78,98,2
78,99,2
79,89,1
79,90,1
79,91,1
79,92,1
79,95,1
79,98,1
80,86,3
80,87,1
80,92,2
80,93,5
80,96,1
80,97,1
80,99,1
81,92,1
82,86,1
82,89,2
82,90,2
82,91,1
82,92,1
82,93,1
82,95,1
82,98,1
83,87,1
83,89,1
83,90,1
83,91,1
83,92,1
83,95,1
83,98,1
84,89,2
84,90,11
84,91,2
84,92,5
84,93,6
84,95,3
84,97,1
84,98,3
85,89,1
85,90,1
85,91,1
85,92,1
85,95,1
85,98,1
86,87,2
86,89,6
86,90,1
86,91,3
86,92,1
86,93,7
86,94,2
86,95,3
86,96,2
86,97,1
86,98,1
86,99,2
87,88,2
87,89,12
87,90,7
87,91,5
87,92,9
87,93,6
87,94,2
87,95,3
87,96,4
87,97,5
87,98,11
87,99,5
88,89,5
88,90,6
88,91,2
88,92,1
88,93,1
88,94,4
88,95,3
88,96,1
88,97,1
88,98,2
88,99,2
89,90,30
89,91,19
89,92,26
89,93,18
89,94,16
89,95,9
89,96,5
89,97,8
89,98,18
89,99,11
90,91,3
90,92,13
90,93,9
90,94,10
90,95,8
90,96,5
90,97,4
90,98,8
90,99,7
91,92,11
91,93,10
91,94,8
91,95,8
91,96,3
91,97,5
91,98,11
91,99,3
92,93,8
92,94,9
92,95,4
92,96,5
92,97,4
92,98,10
92,99,5
93,94,11
93,95,7
93,96,5
93,97,1
93,98,13
93,99,6
94,95,6
94,96,4
94,97,3
94,98,15
94,99,10
95,96,1
95,97,3
95,98,5
95,99,6
96,97,4
96,98,3
96,99,5
97,98,7
97,99,5
98,99,9
